accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.458,0.353,2.780,-25.940,-162.354,102.722
-0.491,0.464,3.126,-14.160,-136.780,102.173
-0.459,0.507,3.289,-11.719,-86.487,88.562
-0.449,0.482,3.236,-14.465,-18.860,63.477
-0.462,0.379,2.982,-19.836,53.345,29.602
-0.457,0.160,2.684,-31.189,114.807,-7.935
-0.491,-0.119,2.496,-42.725,158.875,-39.185
-0.539,-0.340,2.455,-53.040,183.960,-56.885
-0.613,-0.490,2.590,-56.702,195.801,-58.044
-0.692,-0.596,2.816,-66.589,209.290,-47.424
-0.778,-0.688,2.955,-88.196,249.451,-37.964
-0.937,-0.742,2.978,-108.032,320.496,-32.837
-1.112,-0.695,2.724,-123.291,408.386,-25.146
-1.157,-0.541,2.056,-119.995,504.272,-22.888
-1.250,-0.560,1.432,-121.399,580.139,-39.124
-1.250,-0.644,0.907,-138.733,632.690,-53.589
-1.243,-0.729,0.490,-144.592,665.833,-56.641
-1.126,-0.788,0.121,-143.188,658.386,-45.593
-1.067,-0.770,-0.181,-144.775,633.179,-24.231
-1.046,-0.712,-0.462,-133.789,599.060,3.113
-1.045,-0.632,-0.820,-115.234,568.665,35.156
-1.047,-0.467,-1.356,-100.769,548.462,73.914
-0.903,-0.125,-1.895,-84.717,532.532,115.417
-0.799,0.284,-2.453,-58.777,471.191,143.982
-0.682,0.672,-2.724,-40.039,333.862,149.231
-0.496,0.907,-2.608,-30.518,192.200,121.033
-0.398,0.904,-2.203,-32.776,55.176,61.951
-0.333,0.719,-1.797,-35.583,-40.161,-7.874
-0.255,0.446,-1.551,-36.804,-87.158,-68.359
-0.169,0.218,-1.456,-39.124,-107.300,-104.553
-0.070,0.072,-1.426,-21.362,-117.920,-115.051
0.014,-0.008,-1.370,4.517,-130.249,-111.267
0.035,-0.068,-1.297,22.034,-145.203,-103.577
0.038,-0.091,-1.218,36.926,-158.325,-93.018
0.070,-0.104,-1.210,44.800,-169.006,-77.454
0.012,-0.017,-1.226,37.048,-183.716,-55.359
-0.057,0.088,-1.154,26.306,-211.609,-37.048
-0.079,0.105,-0.949,25.757,-253.540,-30.823
-0.129,0.063,-0.599,32.837,-305.908,-33.752
