accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.927,1.254,1.940,27.588,113.281,-337.952
-1.088,1.169,1.662,41.016,177.307,-355.347
-1.174,1.074,1.275,16.418,229.065,-371.338
-1.146,0.911,0.969,-15.686,260.193,-393.860
-1.109,0.618,0.652,-29.419,259.399,-427.551
-1.076,0.271,0.576,-45.898,239.258,-458.130
-0.999,-0.111,0.627,-61.462,215.149,-476.868
-0.914,-0.392,0.737,-71.655,198.669,-477.173
-0.858,-0.584,0.792,-52.307,194.458,-452.576
-0.828,-0.729,0.663,-0.366,204.163,-414.307
-0.831,-0.776,0.338,19.165,224.976,-375.671
-0.717,-0.869,0.001,-23.071,242.615,-349.670
-0.578,-1.104,-0.222,-82.458,236.206,-348.999
-0.463,-1.410,-0.278,-132.019,199.219,-350.464
-0.292,-1.661,-0.144,-157.776,139.343,-326.843
-0.137,-1.787,0.121,-144.897,80.200,-276.733
-0.010,-1.721,0.379,-109.192,41.382,-213.196
0.078,-1.534,0.485,-71.838,32.410,-155.518
0.145,-1.328,0.401,-43.640,51.086,-120.483
0.185,-1.246,0.195,-24.902,73.608,-106.873
0.196,-1.296,-0.019,-18.494,83.130,-106.506
0.235,-1.422,-0.180,-17.456,77.942,-103.516
0.263,-1.505,-0.265,-25.452,61.279,-89.355
0.285,-1.528,-0.278,-32.349,40.222,-64.880
0.304,-1.501,-0.225,-36.072,19.226,-35.583
0.321,-1.435,-0.109,-42.053,3.113,-7.690
0.322,-1.351,-0.004,-42.969,-4.883,14.771
0.306,-1.300,0.044,-37.231,-5.737,31.311
0.265,-1.295,-0.015,-30.151,-2.380,43.823
0.262,-1.322,-0.140,-26.672,-0.122,57.434
0.238,-1.377,-0.211,-26.489,-7.019,72.937
0.207,-1.422,-0.224,-29.968,-22.522,91.858
0.198,-1.408,-0.139,-37.292,-40.833,116.211
0.179,-1.326,-0.003,-37.476,-56.030,143.616
0.167,-1.205,0.128,-35.461,-63.843,169.312
0.131,-1.094,0.221,-30.762,-65.002,188.660
0.115,-0.977,0.262,-24.292,-63.538,204.346
0.113,-0.842,0.294,-14.709,-65.125,219.849
0.092,-0.673,0.364,-5.371,-71.533,237.000
0.073,-0.474,0.453,0.671,-77.881,253.174
0.063,-0.255,0.558,5.493,-81.360,266.052
0.045,-0.058,0.656,7.629,-81.421,273.437
