accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.870,-0.052,1.965,493.591,-289.429,131.287
-1.051,-0.245,2.210,592.102,-314.270,101.135
-1.125,-0.447,2.452,575.378,-321.045,68.420
-1.145,-0.672,2.656,491.943,-274.292,43.030
-1.183,-0.882,2.749,391.602,-186.646,22.827
-1.245,-1.016,2.704,266.357,-64.697,16.052
-1.316,-1.016,2.546,122.559,76.172,25.574
-1.449,-0.902,2.323,-14.771,214.844,36.560
-1.579,-0.834,2.035,-99.426,328.064,36.560
-1.617,-0.872,1.732,-123.047,404.175,27.039
-1.628,-0.982,1.502,-131.958,449.707,16.846
-1.611,-1.116,1.343,-151.306,476.868,14.038
-1.593,-1.208,1.214,-177.795,499.023,19.287
-1.587,-1.238,1.074,-181.763,522.644,33.020
-1.563,-1.179,0.918,-159.790,547.668,55.176
-1.550,-1.068,0.703,-107.422,571.777,81.299
-1.481,-0.891,0.492,-51.636,584.778,111.938
-1.398,-0.688,0.250,3.174,594.604,142.151
-1.308,-0.454,0.036,60.669,603.333,168.457
-1.157,-0.231,-0.182,128.235,607.056,185.608
-1.013,-0.052,-0.409,176.208,612.427,194.763
-0.994,0.116,-0.611,180.298,625.854,200.378
-0.920,0.291,-0.856,181.396,637.146,200.989
-0.741,0.398,-1.125,168.274,643.677,193.298
-0.632,0.405,-1.398,127.136,640.320,170.532
-0.584,0.376,-1.609,61.157,626.892,136.108
-0.566,0.282,-1.834,24.170,608.215,98.389
-0.520,0.141,-1.993,23.010,590.759,65.125
-0.490,-0.009,-2.206,38.940,544.312,37.354
-0.399,-0.120,-2.416,83.252,471.313,16.296
-0.340,-0.163,-2.554,183.411,382.202,5.615
-0.274,-0.114,-2.650,301.758,277.832,12.207
-0.170,0.038,-2.613,371.704,163.086,33.020
-0.117,0.271,-2.370,377.930,47.791,53.894
-0.080,0.514,-1.975,348.511,-52.795,63.721
-0.022,0.718,-1.573,324.585,-127.808,57.861
0.059,0.865,-1.238,325.073,-173.157,37.109
0.080,0.949,-0.999,337.708,-191.772,3.479
0.112,0.993,-0.854,320.557,-192.871,-35.339
0.136,1.011,-0.843,255.615,-181.152,-74.097
0.125,1.004,-0.874,145.874,-154.907,-108.154
0.107,0.956,-0.983,14.648,-130.005,-140.076
0.067,0.827,-1.114,-92.285,-124.451,-175.659
-0.008,0.664,-1.220,-154.480,-137.634,-212.097
-0.123,0.477,-1.304,-191.650,-167.053,-243.958
-0.234,0.259,-1.336,-220.032,-211.487,-273.010
-0.363,-0.010,-1.312,-230.896,-268.066,-303.040
-0.541,-0.341,-1.232,-237.061,-333.862,-326.111
-0.768,-0.664,-1.063,-270.020,-404.297,-330.750
-1.054,-0.880,-0.800,-322.876,-478.149,-308.716
-1.221,-0.961,-0.444,-346.313,-561.768,-262.939
-1.426,-0.986,-0.057,-295.593,-652.527,-207.703
-1.580,-0.856,0.314,-230.896,-729.797,-150.146
-1.733,-0.613,0.501,-184.814,-786.804,-94.543
-1.635,-0.245,0.820,-134.583,-806.885,-50.415
-1.922,0.058,1.095,-73.975,-826.355,-23.987
-2.136,0.118,1.263,-3.296,-848.450,-53.894
-2.166,0.010,1.433,41.565,-836.060,-130.554
-2.282,-0.197,1.662,33.020,-808.411,-218.262
-2.433,-0.543,1.866,24.170,-774.109,-302.917
-2.515,-1.001,2.195,31.677,-739.014,-370.422
-2.616,-1.464,2.497,41.382,-694.336,-398.743
-2.601,-1.899,2.768,42.847,-642.578,-386.292
-2.464,-2.200,3.108,-3.357,-570.496,-326.355
-2.225,-2.331,3.394,-51.758,-462.769,-222.168
-1.847,-2.252,3.446,-71.899,-316.650,-91.614
-1.583,-1.883,3.036,-64.087,-136.475,48.645
-1.431,-1.327,2.312,-59.021,44.189,168.762
-1.350,-0.843,1.595,-88.989,185.974,243.469
-1.239,-0.457,1.099,-141.357,275.635,270.630
-1.098,-0.151,0.738,-201.904,328.674,260.254
-0.996,0.006,0.438,-246.765,339.355,219.360
-0.884,0.058,0.220,-273.560,332.764,168.640
-0.763,0.020,0.076,-273.987,304.016,120.972
-0.654,-0.026,0.001,-260.437,256.592,81.177
-0.556,-0.052,-0.014,-232.117,198.486,51.208
-0.504,-0.091,0.025,-180.786,133.362,28.381
-0.445,-0.148,0.139,-113.159,65.613,10.803
-0.417,-0.237,0.291,-29.480,-0.488,-1.709
-0.397,-0.316,0.473,53.162,-58.716,-11.841
-0.405,-0.411,0.653,112.183,-102.112,-20.020
-0.404,-0.484,0.820,135.620,-127.319,-23.987
-0.404,-0.544,0.971,138.123,-135.315,-25.879
-0.413,-0.629,1.071,131.042,-129.211,-26.855
-0.428,-0.691,1.143,107.849,-114.807,-22.095
-0.443,-0.707,1.200,74.707,-95.398,-11.108
-0.451,-0.693,1.221,49.927,-69.885,3.357
-0.444,-0.647,1.202,36.865,-39.124,19.592
-0.434,-0.580,1.124,32.410,-7.507,34.241
-0.428,-0.509,1.018,26.123,22.156,45.044
-0.410,-0.437,0.917,10.803,47.546,50.476
-0.411,-0.375,0.820,-4.639,65.918,49.377
-0.413,-0.325,0.747,-16.296,76.599,42.297
-0.407,-0.289,0.689,-18.311,78.918,30.151
-0.405,-0.281,0.654,-9.766,73.730,14.832
-0.389,-0.294,0.633,1.465,63.293,-1.648
-0.378,-0.341,0.619,9.277,51.147,-17.395
-0.387,-0.401,0.623,5.432,40.833,-31.006
-0.417,-0.455,0.653,-8.057,33.691,-40.466
-0.431,-0.486,0.690,-16.785,27.893,-47.363

-1.257,-0.378,1.479,431.458,92.712,-138.733
-1.441,-0.614,1.591,409.973,116.089,-196.655
-1.612,-0.964,1.633,357.544,181.702,-260.193
-1.952,-1.213,1.588,255.249,293.213,-311.340
-2.062,-1.359,1.441,119.141,441.956,-337.646
-2.301,-1.462,1.123,-11.475,597.046,-347.778
-2.795,-1.418,0.804,-115.417,733.459,-350.098
-3.187,-1.318,0.488,-153.564,837.402,-347.717
-3.608,-1.332,0.117,-104.370,924.133,-336.060
-3.618,-1.336,-0.374,-59.265,1005.737,-310.303
-3.388,-1.332,-0.769,-128.113,1060.242,-299.805
-3.090,-1.436,-1.060,-247.559,1067.749,-324.463
-2.706,-1.641,-1.309,-289.001,1031.982,-361.328
-2.222,-1.858,-1.527,-213.806,965.515,-370.911
-1.742,-2.017,-1.656,-71.106,867.371,-332.397
-1.210,-2.113,-1.908,44.556,710.693,-251.160
-0.753,-2.127,-1.989,78.430,532.898,-149.658
-0.438,-1.971,-1.810,38.635,338.928,-37.231
-0.244,-1.645,-1.412,29.602,139.771,61.035
-0.185,-1.331,-1.018,131.531,-41.016,122.559
-0.250,-1.057,-0.627,283.325,-195.557,147.949
-0.195,-0.878,-0.331,416.931,-327.759,147.766
-0.209,-0.692,-0.084,522.339,-428.589,126.404
-0.235,-0.599,0.307,603.516,-483.276,85.938
-0.235,-0.640,0.554,659.058,-489.929,26.489
-0.110,-0.826,0.775,659.363,-463.379,-35.339
0.007,-1.080,0.946,582.031,-385.132,-77.393
0.067,-1.286,1.052,431.580,-280.273,-85.083
0.095,-1.352,1.091,235.291,-165.283,-58.899
0.085,-1.265,1.014,54.504,-52.002,-16.541
0.043,-1.082,0.793,-55.481,47.729,20.325
0.019,-0.932,0.502,-94.421,125.244,40.161
0.040,-0.843,0.233,-100.342,173.157,42.358
0.050,-0.820,-0.009,-99.915,190.552,32.227
0.045,-0.849,-0.203,-89.966,183.228,15.442
0.056,-0.888,-0.347,-70.984,159.912,0.549
0.094,-0.912,-0.436,-44.373,126.099,-5.066
0.119,-0.915,-0.485,-12.207,81.848,-0.488
0.139,-0.880,-0.477,7.324,34.119,10.498
0.125,-0.812,-0.403,9.644,-6.104,21.423
0.118,-0.746,-0.306,11.047,-34.912,25.452
0.116,-0.709,-0.213,17.273,-52.734,21.118
0.109,-0.711,-0.133,23.987,-62.378,9.766
0.094,-0.748,-0.098,27.039,-63.721,-4.150
0.087,-0.794,-0.096,16.541,-56.519,-16.602
0.057,-0.850,-0.133,-4.395,-44.067,-25.818
-0.020,-0.902,-0.207,-31.494,-31.128,-32.288
-0.070,-0.924,-0.282,-69.397,-20.508,-34.851
-0.096,-0.932,-0.364,-103.027,-12.207,-34.119
-0.140,-0.942,-0.441,-128.296,-6.287,-31.982
-0.163,-0.958,-0.492,-153.931,-3.052,-29.114
-0.193,-0.994,-0.548,-162.659,-3.906,-29.236
-0.258,-1.033,-0.606,-159.851,-7.874,-29.053
-0.318,-1.068,-0.654,-159.607,-17.273,-23.560
-0.346,-1.065,-0.682,-167.786,-34.668,-12.085
-0.433,-1.065,-0.673,-179.932,-61.646,-0.610
-0.518,-1.075,-0.644,-189.026,-95.215,14.954
-0.653,-1.118,-0.598,-185.242,-131.897,36.072
-0.832,-1.183,-0.520,-175.293,-170.776,60.669
-0.985,-1.272,-0.468,-160.461,-210.937,86.060
-1.105,-1.335,-0.424,-150.330,-256.042,110.535
-1.286,-1.344,-0.343,-159.058,-311.096,142.700
-1.511,-1.296,-0.231,-176.514,-370.728,183.838
-1.627,-1.238,-0.142,-179.016,-428.894,229.736
-1.828,-1.160,-0.033,-171.021,-485.535,277.649
-2.074,-1.039,0.119,-166.748,-535.889,325.378
-2.075,-0.947,0.278,-163.391,-584.778,372.192
-2.234,-0.870,0.475,-150.696,-625.793,401.001
-2.431,-0.790,0.685,-138.062,-655.579,417.786
-2.498,-0.710,0.912,-111.572,-680.725,436.035
-2.640,-0.600,1.105,-52.734,-709.167,453.979
-2.785,-0.498,1.268,45.471,-729.004,466.492
-2.766,-0.416,1.364,161.804,-742.371,467.346
-2.717,-0.338,1.456,261.963,-747.925,454.468
-2.495,-0.235,1.530,326.416,-741.333,423.950
-2.305,-0.119,1.651,359.802,-712.585,371.399
-2.140,-0.040,1.816,374.695,-664.062,292.053
-1.944,-0.045,2.016,380.310,-596.375,193.054
-1.656,-0.196,2.121,390.076,-511.414,86.792
-1.404,-0.493,2.115,372.314,-389.648,-12.451
-1.223,-0.774,1.996,262.390,-232.727,-78.125
-1.159,-0.856,1.766,52.551,-65.186,-102.417
-1.121,-0.884,1.435,-175.537,90.332,-108.887
-0.953,-0.768,1.200,-357.300,214.844,-108.276
-0.865,-0.599,0.872,-415.894,308.105,-123.108
-1.063,-0.632,0.573,-395.691,379.150,-173.950
-0.950,-0.713,0.272,-420.898,394.348,-223.938
-0.919,-0.837,0.075,-451.111,378.723,-260.498
