accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.451,1.083,1.181,46.143,-56.824,-79.651
-0.484,1.144,1.127,36.438,-34.119,-92.651
-0.501,1.248,0.972,17.090,-8.606,-103.943
-0.535,1.367,0.805,-0.793,7.690,-116.699
-0.592,1.426,0.707,-8.362,6.409,-135.010
-0.622,1.408,0.699,-4.028,-8.118,-158.508
-0.652,1.345,0.783,-0.488,-27.283,-182.678
-0.632,1.254,0.879,4.089,-39.490,-205.139
-0.580,1.144,0.923,7.874,-38.513,-226.318
-0.534,1.027,0.909,7.690,-24.170,-243.530
-0.466,0.860,0.819,13.062,-3.601,-255.981
-0.468,0.676,0.696,17.395,17.029,-264.709
-0.478,0.453,0.579,27.283,29.480,-273.437
-0.441,0.220,0.483,50.598,29.175,-276.123
-0.383,0.034,0.397,78.857,19.592,-264.160
-0.353,-0.048,0.323,93.872,6.653,-240.479
-0.347,-0.007,0.312,86.304,-10.559,-215.698
-0.392,0.020,0.471,67.200,-39.429,-205.505
-0.446,-0.036,0.799,57.800,-75.134,-212.341
-0.466,-0.141,1.148,63.110,-103.271,-225.342
-0.470,-0.337,1.386,80.078,-109.863,-239.319
-0.455,-0.626,1.515,96.802,-89.111,-253.052
-0.437,-0.978,1.529,96.924,-53.711,-259.827
-0.407,-1.327,1.392,110.840,-16.357,-255.249
-0.383,-1.572,1.178,118.591,14.160,-234.497
-0.316,-1.684,0.974,119.690,31.677,-199.646
-0.260,-1.738,0.800,119.385,34.363,-162.537
-0.255,-1.814,0.740,100.464,25.818,-137.451
-0.279,-1.954,0.816,62.134,13.367,-125.854
-0.299,-2.132,0.941,30.884,3.113,-117.432
-0.312,-2.265,1.047,10.559,0.427,-98.389
-0.305,-2.298,1.080,-5.920,7.385,-64.270
-0.330,-2.217,1.050,-18.921,20.752,-22.644
-0.315,-2.080,0.949,-23.071,31.189,14.893
-0.283,-1.917,0.791,-19.287,38.208,45.532
-0.214,-1.733,0.640,-24.231,40.955,70.190
-0.206,-1.566,0.556,-33.447,36.926,89.783
-0.216,-1.411,0.549,-40.588,26.062,108.887
-0.255,-1.272,0.613,-36.377,9.827,128.540
-0.272,-1.116,0.729,-26.550,-7.202,148.010
-0.293,-0.955,0.865,-17.029,-19.958,168.823
-0.308,-0.725,0.954,-13.611,-21.362,190.674
-0.322,-0.471,0.960,-15.625,-11.719,207.520
-0.328,-0.270,0.899,-19.226,2.258,213.196
-0.334,-0.169,0.827,-30.334,14.587,205.505
-0.325,-0.165,0.744,-37.231,22.034,191.345
-0.316,-0.108,0.656,-48.523,24.536,185.547
-0.320,0.002,0.594,-56.274,22.461,190.002
-0.331,0.126,0.605,-59.937,11.230,193.481
-0.322,0.254,0.673,-58.777,-5.493,192.871
-0.306,0.418,0.740,-54.749,-19.836,193.604
-0.318,0.596,0.809,-55.847,-26.733,194.275
-0.295,0.706,0.835,-49.683,-29.114,185.730
-0.234,0.784,0.806,-47.546,-24.658,168.945
-0.210,0.895,0.763,-58.105,-16.907,155.334
-0.246,0.975,0.745,-60.974,-13.367,148.315
-0.285,1.031,0.817,-62.012,-21.851,140.747
-0.308,1.072,0.969,-54.626,-37.903,130.859
-0.323,1.128,1.128,-37.903,-50.720,124.023
-0.335,1.209,1.265,-21.118,-50.537,117.310
-0.289,1.256,1.313,-10.437,-36.499,104.553
-0.233,1.190,1.243,-5.249,-14.282,85.022
-0.232,1.062,1.169,-9.216,10.254,66.956
