accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-2.167,-1.573,0.356,123.047,331.787,203.796
-2.164,-1.444,0.169,95.032,316.162,250.000
-2.144,-1.011,-0.154,88.013,269.592,330.872
-2.014,-0.932,-0.271,89.111,219.788,379.639
-1.940,-0.860,-0.259,101.746,192.871,403.809
-1.978,-0.541,-0.516,104.614,171.753,449.829
-1.884,-0.465,-0.783,104.675,150.940,476.746
-1.797,0.082,-0.974,104.187,106.689,490.295
-1.467,0.637,-0.826,77.881,31.677,480.713
-1.305,0.506,-0.669,54.932,5.859,453.430
-1.259,0.151,-0.567,36.316,-9.338,418.457
-1.207,0.148,-0.624,49.255,-46.875,421.875
-1.250,0.266,-0.376,73.181,-53.406,422.424
-1.245,0.166,0.122,101.501,-81.848,417.542
-1.311,0.134,0.118,117.065,-70.007,418.091
-1.468,0.563,-0.200,130.188,-63.965,431.152
-1.497,1.384,0.019,128.540,-103.149,446.655
-1.454,1.815,0.057,130.798,-109.863,455.505
-1.653,2.071,-0.099,136.108,-110.901,339.294
-1.763,1.746,-0.113,145.386,-123.108,259.766
-1.969,1.616,0.215,158.813,-163.513,246.582
-1.805,1.934,0.733,201.965,-184.143,206.360
-1.646,2.029,0.695,224.915,-167.053,168.518
-1.524,1.678,0.116,255.493,-137.329,69.336
-1.699,0.853,-0.242,223.267,-163.635,-12.695
-1.910,0.480,-0.230,170.471,-228.760,-36.194
-2.009,0.755,0.058,151.794,-272.644,-29.053
-1.959,1.159,1.136,136.780,-339.050,-46.936
-1.866,1.270,1.581,150.757,-287.170,-107.483
-1.833,1.236,1.312,154.419,-204.956,-174.683
-1.786,1.466,0.723,153.931,-182.312,-205.566
-2.048,1.494,0.717,179.504,-157.654,-289.185
-2.393,1.057,1.364,204.285,-154.236,-388.306
-2.488,0.450,1.549,239.197,-85.815,-460.571
-2.568,0.402,1.090,255.737,-26.306,-474.243
-3.009,0.339,-0.229,230.042,48.889,-495.911
-3.389,-0.215,-0.443,141.968,-48.218,-513.428
-3.364,-0.364,0.428,41.260,-176.147,-480.225
-3.195,-0.709,1.761,49.377,-236.084,-476.074
-2.688,-1.481,1.654,158.081,-120.911,-460.876
-2.086,-1.969,0.877,268.921,-60.913,-409.729
-1.822,-2.125,0.755,284.241,-93.567,-409.058
-1.271,-3.820,1.810,253.601,-124.512,-339.783
-0.746,-1.726,2.425,213.989,-60.364,40.588
-0.539,0.269,0.975,120.239,89.294,173.584
-0.578,1.099,-0.120,11.963,128.479,172.485
-0.544,1.528,-0.396,-50.171,61.218,126.343
-0.520,1.567,-0.065,-64.453,0.732,29.297
-0.508,0.959,0.946,-50.476,-59.570,-16.602
-0.443,0.125,1.186,6.165,-8.484,-65.186
-0.441,-0.383,0.599,32.410,52.856,-50.293
-0.470,-0.356,0.071,27.161,52.063,1.526
-0.471,0.208,0.234,9.766,1.526,56.030
-0.425,0.508,0.426,7.996,-14.709,68.481
-0.416,1.057,0.635,11.353,-19.653,61.523
-0.422,1.034,0.690,15.198,-14.099,11.353
-0.463,0.367,0.848,9.949,-13.489,-35.339
-0.417,0.005,0.893,6.653,-4.089,-36.804
-0.432,-0.101,0.827,5.188,6.714,-12.390
-0.452,0.009,0.655,5.615,4.578,5.005
-0.458,0.439,0.796,2.319,-12.512,33.936
-0.456,0.726,0.963,0.366,-18.433,32.288
-0.455,0.764,1.017,1.587,-11.536,12.634
-0.438,0.651,0.999,1.587,-1.282,-8.118
-0.439,0.432,0.925,3.784,2.380,-10.193
-0.441,0.418,0.731,13.184,9.827,-5.676
-0.439,0.350,0.668,13.367,3.357,-5.432
-0.452,0.349,0.736,9.094,-1.770,-3.296
-0.452,0.361,0.756,5.920,-4.517,-1.343
-0.458,0.379,0.828,4.456,-7.080,-0.549
-0.457,0.350,0.896,2.380,-8.789,1.160
-0.456,0.407,0.884,4.822,-2.258,7.507
-0.462,0.507,0.702,9.705,6.042,8.301
-0.475,0.498,0.731,8.850,-3.479,1.160
-0.469,0.484,0.803,10.437,-7.568,-1.343
-0.473,0.466,0.834,13.245,-2.991,-6.470
-0.475,0.320,0.810,13.916,-0.671,-14.771
-0.449,0.201,0.795,14.038,3.845,-9.277
-0.442,0.389,0.586,18.738,11.536,5.432
-0.440,0.471,0.557,20.569,-10.010,5.066
